Name,Country,Years active,Proven victims,Possible victims,Notes
Majid Salek Mohammadi,Iran,1981 to 1985,24,24,"Killed mainly women he considered unfaithful to their husbands, sometimes the children accompanying them too; committed suicide before he could be sentenced."
Yvan Keller,"France,Germany (suspected),Switzerland (suspected)",1989 to 2006,23,150,"Known as the ""Pillow Killer""; killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; committed suicide before trial."
Ronald Dominique,United States,1997 to 2006,23,23,"Louisianian serial killer, known locally as the Bayou Strangler and murdered victims in the Terrebonne Parish, Lafourche Parish, Iberville Parish and Jefferson Parish. Sentenced to eight life terms."
Juan Fernando Hermosa,Ecuador,1991 to 1992,23,23,"Known as ""Niño del Terror""; youth gang leader who murdered mostly taxi drivers and homosexuals in Quito; murdered on his 20th birthday by unknown assailants."
Earle Nelson,"United States,Canada",1926 to 1927,22,25,"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hanged by Canadian authorities in January 1928."
Mikhail Novosyolov,"Soviet Union,Russia,Tajikistan",1977 to 1995,22,22,"Known as the ""Necrophile Rebel""; killed his victims with blows from heavy objects, then had sexual intercourse with their corpses; sentenced to civil commitment."
Manuel Octavio Bermúdez,Colombia,1999 to 2003,21,50,"Colombian pedophile and serial killer. Known as ""El Monstruo de los Cañaduzales"" (The Monster of the Cane Fields). He confessed to killing 21 children in remote areas of Colombia. Sentenced to 40 years in prison."
Patrick Kearney,United States,1965 to 1977,21,43,"Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them. Sentenced to imprisonment for life."
William Bonin,United States,1979 to 1980,21,36,"Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway Killer. Convicted of 14 of the freeway murders, he was executed by lethal injection in 1996."
Vasile Tcaciuc,Romania,1917 to 1935,21,26,Romanian man who lured victims and then murdered them with an axe. He was arrested in 1935 after a dog found a dead body in his house. He confessed to having committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison.
Yoo Young-chul,South Korea,2003 to 2004,21,26,"Used a hammer to murder mostly older victims, until his focus shifted to the decapitation and mutilation of escorts after being dumped by a girlfriend who worked in that profession. Was sentenced to death and currently incarcerated."
Francisco Guerrero Pérez,Mexico,1880 to 1908,21,21,"Known as ""El Chaquero""; the first captured serial killer in Mexico, who killed prostitutes in Mexico City; died in 1910 from cerebral thromboembolism and another, unspecified cause."
Abdullah Shah,Afghanistan,1990s,20,20,Killed travelers on the road from Kabul to Jalalabad serving under Zardad Khan. Also killed his wife. Executed by gunshot in 2004.
José Paz Bezerra,Brazil,1960s to 1970s,20,20,"Known as the ""Morumbi Monster""; sexually violated, tortured and then murdered at least 20 women in São Paulo and Pará; sentenced to 30 years imprisonment and later released in 2001."
Bulelani Mabhayi,South Africa,2007 to 2012,20,20,"Known as the ""Monster of Tholeni""; killed women and children in the village of Tholeni; sentenced from 25 years to life imprisonment."
Mohan Kumar,India,2005 to 2009,20,20,"Lured female victims with promises of marriage and gave them cyanide, claiming they were contraceptive pills, Sentenced to death in 2013."
Alexander Spesivtsev,Russia,1991 to 1996,19,82,"Cannibal known as ""The Novokuznetsk Monster""; admitted to 19 murders, but 82 bloody sets of clothes were found in his home, along with jewels and photographs of possibly unidentified victims. Found insane and interned in a mental hospital. His mother was sentenced to 16 years in prison for luring Spesivtsev's victims to their home."
Larry Eyler,United States,1982 to 1984,19,23,"Known as ""The Interstate Killer""; sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994."
Surinder Koli,India,2005 to 2006,19,30,"Between 2005 and 2006, a domestic servant of Indian businessman Moninder Singh Pandher, Surinder Koli, kidnapped, raped, murdered, and dismembered 19 people, mostly children. Convicted and sentenced to life."
El Psicópata,Costa Rica,1986 to 1996,19,19,"(""The Psychopath"") Unidentified serial killer who killed 19 people with an M3 submachine gun in three Costa Rican towns, always south of the Florencio del Castillo Highway."
Sergei Ryakhovsky,"Soviet Union,Russia",1988 to 1993,19,19,"Known as the Balashikha Ripper, he was convicted for the murders of at least 19 victims. Died from tuberculosis in 2005."
Yevgeny Chuplinsky,Russia,1998 to 2006,19,19,"Known as the ""Novosibirsk Maniac""; killed prostitutes in Novosibirsk; despite extensive police search and the capture of another serial killer, he was only arrested in 2016; sentenced to life imprisonment."
M. Jaishankar,India,2008 to 2011,19,19,"Accused of killing at least 19 women. Charged with 13 murders, he escaped during a trial transport. Killed eight more people in two months before he was recaptured. Sentenced to 27 years. Committed suicide by slashing his wrists with a shaving blade in prison on 27 February 2018."
Ansis Kaupēns,Latvia,1920 to 1926,19,19,Army deserter who committed 30 robberies and killed 19 people; one of the most infamous Latvian criminals; executed by hanging in 1927.
Vadim Ershov,Russia,1992 to 1995,19,19,"Known as the ""Krasnoyarsk Beast""; committed 70 crimes around the Krasnoyarsk area, including 19 murders and eight attempted murders; sentenced to death, commuted to life imprisonment."
Velaphi Ndlangamandla,South Africa,1998,19,19,"Known as ""The Saloon Killer""; robber who murdered people around Mpumalanga in his crime spree; sentenced to 137 years imprisonment."
Yavuz Yapıcıoğlu,Turkey,1994 to 2002,18,40,Killed in various cities of Turkey. 18 murders proven and accused of more than 40 by eyewitnesses and relatives. Was sentenced to 74 years in prison.
Paul John Knowles,United States,1974,18,35,"Killed 18 people in various states in 1974. Claimed 35 murders. Known as the ""Casanova Killer""; shot dead by FBI agents."
Thierry Paulin,France,1984 to 1987,18,21,"Known as ""The monster of Montmartre"". Killed and robbed elderly women. Died of AIDS in 1989 in prison before trial."
Randall Woodfield,United States,1979 to 1981,18,44,"Known as ""The I-5 Killer"" and ""The I-5 Bandit."" Suspected of as many as 44 murders. Sentenced to imprisonment for life."
Umesh Reddy,India,1996 to 2002,18,18,Confessed to 18 rapes and murders. Sentenced to death.
Christopher Mhlengwa Zikode,South Africa,1994 to 1995,18,18,"Known as ""Donnybrook Serial Killer"" murdered 18 people in Donnybrook, KwaZulu Natal from 1994 to 1995. Was given 140 years (5 life sentences)."
Asande Baninzi,South Africa,2001,18,18,"Killed 18 people in three months, including a family of four; given 19 life sentences and 189 years of imprisonment."
Huang Yong,China,2001 to 2003,17,25,"Lured and murdered 17 teenage boys, although he is suspected of 25 murders between September 2001 and 2003. Executed by firing squad in 2003."
Pedro Pablo Nakada Ludeña,Peru,2005 to 2006,17,25,"Known as ""El Apóstol de la Muerte"" (""The Apostle of Death""). Convicted of 17 murders and claimed 25. Sentenced to 35 years in prison."
Darbara Singh,India,2004,17,23,Sexually assaulted and then murdered children of non-Punjabi immigrants; died in 2018 from an illness while serving a life sentence.
Sergei Dovzhenko,Ukraine,1992 to 2002,17,19,"Killed people because they were ""mocking"" him; sentenced to life imprisonment."
Donato Bilancia,Italy,1997 to 1998,17,17,"Burglar who murdered 17 people, mainly prostitutes, between 1997 and 1998, during a six-month period. Known as the ""Prostitutes Killer"" and the ""Liguria Monster"". Sentenced to imprisonment for life."
Irina Gaidamachuk,Russia,2002 to 2010,17,17,"Known as ""Satan in a skirt"". Killed 17 elderly women between 2002 and 2010. Sentenced to 20 years in prison."
Randy Steven Kraft,United States,1971 to 1983,16,65–67,"Convicted of 16 counts of murder but left a cryptic ""score card"" referring to at least 65 victims. May have had an accomplice. Sentenced to death."
Mohammed Bijeh,Iran,2004,16,20,"Raped and killed at least 16 boys and teenagers. Nicknamed the ""Tehran Desert Vampire"". Was convicted and executed after being lashed in front of a crowd in 2005."
Michel Fourniret,"France,Belgium",1987 to 2001,16,19,Known as the Ogre or Beast of Ardennes. He was caught after a failed kidnapping in 2003. Sentenced to life and died of respiratory problems while in prison in 2021.
Sipho Agmatir Thwala,South Africa,1996 to 1997,16,19,"Nicknamed the Phoenix Strangler after the area in which he committed his crimes; he raped and strangled 19 women; arrested, he was found guilty of 16 murders and sentenced to life."
Saeed Hanaei,Iran,2000 to 2001,16,19,"Confessed to luring 16 prostitutes to his home and killing them in an attempt to ""cleanse"" the city of Mashhad. His actions were dubbed ""The Spider Murders"". Executed by hanging in 2002."
Jeffrey Dahmer,United States,1978 to 1991,16,17,Dahmer ate some of his victims and kept their body parts in his freezer. Was sentenced to life imprisonment; murdered in prison in 1994.
José Antonio Rodríguez Vega,Spain,1987 to 1988,16,16,"Nicknamed El Mataviejas (The Old Lady Killer), he raped and killed at least 16 elderly women, aged from 61 to 93 years old, in and around Santander, Cantabria. He went unrecognized for over a year because he moved his victims into their beds after they were killed; no autopsies were made and the deaths were attributed to natural causes. He also took trophies from his victims that he held in a particular room of his home; about 10 percent of these trophies remained unclaimed, implying the existence of other victims. He was stabbed to death by two inmates while incarcerated in 2002."
Elias Xitavhudzi,South Africa,1950s,16,16,"Nicknamed Panga man for his use of a machete (locally known as a ""panga""). He stabbed and robbed his victims between 1953 and 1959; arrested, he was executed by hanging in 1960."
Jimmy Maketta,South Africa,2005,16,16,Pleaded guilty to and convicted of 16 murders and 19 rapes committed over the nine-month period of April to December 2005.
Jack Mogale,South Africa,2008 to 2009,16,16,"Raped and strangled women in the Donnybrook area. Convicted of 16 murders and 19 rapes, nine kidnappings, robbery and assault."
Robert Lee Yates,United States,1975 to 1998,16,16,"Killed prostitutes in the ""Skid Row"" area of E. Sprague Avenue in Spokane, Washington. Sentenced to 408 years in prison and two death sentences."
Carroll Cole,United States,1948 to 1980,16,16,"Killed 16 people in California, Nevada, Texas. Executed by lethal injection in 1985."
Charles Ray Hatcher,United States,1969 to 1982,16,16,"A habitual criminal, confessed to the rape and murder of over 20 young and adolescent males. Escaped from prison several times and was declared a ""manipulative institutionalized sociopath"". Sentenced to life; committed suicide by hanging himself in prison in 1984."
Yuri Ivanov,Soviet Union,1974 to 1987,16,16,"Known as the ""Ust-Kamenogorsk Maniac""; Kazakhstani rapist who killed girls and women who spoke negatively of men; executed 1987."
Vladimir Mirgorod,Russia,2003 to 2004,16,16,"Known as ""The Strangler""; raped and strangle women in Moscow, also killing one of the victims' son; sentenced to life imprisonment."
Lee Choon-jae,South Korea,1986 to 1994,15,,"Also known as the Hwaseong serial murders. Most of the victims were bound, gagged, and strangled to death with their own clothes. It sparked the largest criminal case in South Korea with two million officers mobilized and over 21,000 suspects investigated. A suspect was identified in 2019, but he could not be prosecuted due to the statute of limitations. He later confessed to killing 15 people, in addition to the murder of his sister-in-law."
Dorángel Vargas,Venezuela,1997 to 1999,15,,"Homeless cannibal known as ""The People Eater"" (El Comegente) and ""The Hannibal Lecter of the Andes"". Murdered a homeless man and was institutionalized. After escaping the institution, he went on to kill ten other men and was arrested. In 2016, he and several other inmates killed three others and Vargas fed their remains to them."
Ravinder Kumar,India,2008 to 2015,15,30,Serial rapist who killed children of poor families.
Atlanta Ripper,United States,1911,15,21,"Unidentified serial killer(s) who killed at least 15 Atlanta women in 1911, possibly as many as 21 in total."
Robert Hansen,United States,1980 to 1983,15,21,"Prostitutes he kidnapped were released into the Alaskan wilderness for him to hunt down like animals. Based on discovered remains, police suspect him of six murders in addition to the 15 for which he was convicted. Sentenced to 461 years plus life. Died from unspecified health problems in 2014."
Ángel Maturino Reséndiz,"United States,Mexico",1986 to 1999,15,18,"Known as the ""Railroad Killer"" because his killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 California murder case and claimed two additional killings he refused to elaborate on. Executed by lethal injection in 2006."
Chester Turner,United States,1987 to 1998,15,15,Convicted of killing 15 people in Los Angeles in the 1980s and 1990s. Sentenced to death.
Elifasi Msomi,South Africa,1950s to 1956,15,15,Killed his victims with an axe or a knife in the 1950s; executed by hanging in 1956.
Florencio Fernández,Argentina,1950s,15,15,"Stalked his victims, then would beat and bite them while they were asleep. Died from natural causes a few years after his 1960 arrest."
Bai Baoshan,China,1983 to 1997,15,15,Robber who killed 15 people while robbing several police stations; executed by gunshot in 1998.
Maurizio Minghella,Italy,1978 to 2001,15,15,"Killed five prostitutes; imprisoned and released, after which he killed 10 more; sentenced to life imprisonment."
Alexander Labutkin,Soviet Union,1933 to 1935,15,15,"Known as the ""One-Armed Bandit""; killed people in the forest near the Prigorodny settlement using a revolver; executed 1935."
